payload_size,run_index,payload_mb_s,ack_loss_ratio,ack_delivery_ratio,message_delivery_ratio,fragment_delivery_ratio,message_reassembly_ratio,timed_out
1024,1,3.2759922004129263,0.0,1.0,1.0,1.0,0.0,False
1024,2,3.210764743799329,0.0,1.0,1.0,1.0,0.0,False
1024,3,3.2590730507932433,0.0,1.0,1.0,1.0,0.0,False
1024,4,3.282913817654816,0.0,1.0,1.0,1.0,0.0,False
4096,1,12.318539900216203,0.0,1.0,1.0,1.0,1.0,False
4096,2,12.228388835668529,0.0,1.0,1.0,1.0,1.0,False
4096,3,12.304261046810305,0.0,1.0,1.0,1.0,1.0,False
4096,4,11.725187036079632,0.0,1.0,1.0,1.0,1.0,False
16384,1,50.55818000259679,0.0,1.0,1.0,1.0,1.0,False
16384,2,51.096023761080595,0.0,1.0,1.0,1.0,1.0,False
16384,3,51.22519656771568,0.0,1.0,1.0,1.0,1.0,False
16384,4,48.91676872945844,0.0,1.0,1.0,1.0,1.0,False
